Fill,SCH,Healer DPS,14 15 16 17 18 19 20 21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,14 15 16 17 18 19 20 21,14 15 16 17 18 19 20 21,14 15 16 17 18 19 20 21,14 15 16 17 18 19 20 21
Veola,WHM,All,17 18 19 20 21 22 23,17 18 19 20 21 22 23,17 18 19 20 21 22 23,17 18 19 20 21 22 23,17 18 19 20 21 22 23,x,17 18 19 20 21 22 23
Beryl,PLD,Tank DPS,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,18 19 20 21 22 23,18 19 20 21 22 23,18 19 20 21 22 23,18 19 20 21 22 23,18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
Zyyra,MNK,DPS,X,16 17 18 19 20 21 22 23,0 1 16 17 18 19 20 21 22 23,0 1 16 17 18 19 20 21 22 23,0 1 16 17 18 19 20 21 22 23,0 1 16 17 18 19 20 21 22 23,0 1 16 17 18 19 20 21 22 23
Zaza,BLM,All,19 20 21 22 23,18 19 20 21 22 23,18 19 20 21 22 23,18 19 20 21 22 23,18 19 20 21 22 23,18 19 20 21 22 23,19 20 21 22 23
Lyon,BRD/MCH,DPS,0 17 18 19 20 21 22 23,0 17 18 19 20 21 22 23,17 18 19 20 21 22 23,0 17 18 19 20 21 22 23,X,17 18 19 20 21 22 23,0 17 18 19 20 21 22 23
Serenity,PLD/DRK,DPS,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
Art,WAR,Tank DPS,13 14 15 16 17 18 19 20 21 22 23,20 21 22 23,X,20 21 22 23,X,20 21 22 23,13 14 15 16 17 18 19 20 21 22 23
Meara,SCH,DPS,0 1 17 18 19 20 21 22 23,0 1 17 18 19 20 21 22 23,0 1 17 18 19 20 21 22 23,0 1 17 18 19 20 21 22 23,0 1 17 18 19 20 21 22 23,0 1 17 18 19 20 21 22 23,0 1 17 18 19 20 21 22 23
Izanami,WHM,All,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 19 20 21 22 23
Cirina,DRG,Healer DPS,0 1 14 15 16 17 18 19 20 21 22 23,0 1 14 15 16 17 18 19 20 21 22 23,0 1 14 15 16 17 18 19 20 21 22 23,0 1 14 15 16 17 18 19 20 21 22 23,0 1 14 15 16 17 18 19 20 21 22 23,0 1 14 15 16 17 18 19 20 21 22 23,0 1 14 15 16 17 18 19 20 21 22 23
Sibold,BLM,Healer DPS,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 19 20 21 22 23,0 19 20 21 22 23,0 19 20 21 22 23,0 19 20 21 22 23,0 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
Aros,BLM,DPS,0 1 2 23,0 1 2 23,0 1 2 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0 1 23,0 1 23,0 1 23
Aeisr,BRD/MCH,Healer DPS,0 1 2 17 18 19 20 21 22 23,0 1 2 17 18 19 20 21 22 23,0 1 2 17 18 19 20 21 22 23,0 1 2 17 18 19 20 21 22 23,0 1 2 17 18 19 20 21 22 23,0 1 2 17 18 19 20 21 22 23,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
